;atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;slug;apelido;apelido_abreviado;nome;foto;id_atleta;scout.A;scout.CA;scout.DS;scout.FC;scout.FD;scout.FF;scout.FS;scout.PI;scout.CV;scout.FT;scout.G;scout.I;scout.SG;scout.DE;scout.GS;scout.PC;scout.PP;scout.PS;scout.DP;scout.GC
101;105809;38;373;3;6;0.0;1.0;0.0;0.0;0;michel;Michel;Michel;Michel Custódio Gonçalves de Sousa;https://s.glbimg.com/es/sde/f/2020/10/26/059f2158e6b54d1f4629ebbda8f9570f_FORMATO.png;101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
102;38588;38;1371;5;7;1.4;8.95;-1.27;3.17;26;elton;Elton;Elton;Elton Rodrigues Brandão;https://s.glbimg.com/es/sde/f/2021/06/04/4502cbea66ec9127c822c43c05e6a7c5_FORMATO.png;102;0.0;3.0;12.0;23.0;7.0;13.0;24.0;85.0;0.0;1.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
103;71162;38;354;4;7;3.5;11.67;0.26;3.66;32;vina;Vina;Vina;Vinícius Goes Barbosa de Souza;https://s.glbimg.com/es/sde/f/2021/06/02/03a9bd95b9964e9fa07bbf7412a7a03c_FORMATO.png;103;2.0;7.0;17.0;9.0;19.0;32.0;39.0;235.0;0.0;1.0;8.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;83433;38;285;4;7;-0.4;9.04;-0.56;3.82;33;patrick;Patrick;Patrick;Patrick Bezerra do Nascimento;https://s.glbimg.com/es/sde/f/2021/05/02/edb310e9b3a541992505fa9f30654040_FORMATO.png;104;4.0;1.0;77.0;42.0;11.0;14.0;67.0;214.0;2.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
105;68872;38;285;1;7;2.0;6.14;0.19;1.89;14;marcelo-lomba;Marcelo Lomba;M. Lomba;Marcelo Lomba do Nascimento;https://s.glbimg.com/es/sde/f/2020/02/27/ff4cfd7c9d5ee3bf7c1f281c6a05c147_FORMATO.png;105;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;43.0;22.0;0.0;0.0;0.0;0.0;0.0
106;101290;38;284;5;7;9.2;11.12;-0.06;5.31;24;ferreira;Ferreira;Ferreira;Aldemir dos Santos Ferreira;https://s.glbimg.com/es/sde/f/2021/04/29/c162773146af15b4d212ad3d8e81af03_FORMATO.png;106;5.0;3.0;34.0;10.0;20.0;32.0;52.0;145.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
107;72359;38;354;3;6;0.0;7.23;0.0;3.84;18;luiz-otavio;Luiz Otávio;L. Otávio;Luiz Otávio Anacleto Leandro;https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png;107;0.0;2.0;29.0;14.0;3.0;4.0;8.0;46.0;0.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
108;90031;38;354;5;7;8.0;7.66;0.63;2.86;26;mendoza;Mendoza;Mendoza;John Stiven Mendoza Valencia;https://s.glbimg.com/es/sde/f/2021/03/11/adf62456aacb951931d4be8a2e6595ca_FORMATO.png;108;3.0;3.0;35.0;22.0;11.0;24.0;36.0;134.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
109;82407;38;286;4;7;12.9;6.3;0.72;1.66;28;chico;Chico;Chico;Francisco Hyun Sol Kim;https://s.glbimg.com/es/sde/f/2021/04/30/5638d9577d3da1016e551a5fcf125e7b_FORMATO.png;109;1.0;2.0;21.0;17.0;8.0;4.0;42.0;109.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110;42145;38;266;2;6;0.0;9.93;0.0;2.85;14;egidio;Egídio;Egídio;Egídio de Araújo Pereira Júnior;https://s.glbimg.com/es/sde/f/2021/08/19/06fb6974e8be4c3a33fddfd55b177fba_FORMATO.png;110;2.0;0.0;27.0;18.0;3.0;2.0;9.0;219.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
111;79113;38;285;3;7;-0.3;7.16;-2.08;2.59;34;victor-cuesta;Víctor Cuesta;V. Cuesta;Víctor Leandro Cuesta;https://s.glbimg.com/es/sde/f/2021/05/02/3f88f0b75e8991f7808e2e7cc7ed35f8_FORMATO.png;111;5.0;11.0;59.0;50.0;7.0;4.0;19.0;196.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
112;72772;38;275;5;6;0.0;7.62;0.0;2.91;18;luiz-adriano;Luiz Adriano;L. Adriano;Luiz Adriano de Souza da Silva;https://s.glbimg.com/es/sde/f/2021/04/30/99407b05e81aa1d3343c4b9e13d9b3b9_FORMATO.png;112;2.0;0.0;5.0;7.0;9.0;7.0;11.0;27.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
113;107854;38;373;4;6;-0.1;0.91;-0.21;1.2;4;andre-lima;André Lima;A. Lima;André da Silva Lima;https://s.glbimg.com/es/sde/f/2021/04/20/36e70c3b44ff5978fb059f936ce23d07_FORMATO.png;113;0.0;0.0;5.0;1.0;1.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114;39850;38;284;6;7;5.11;7.73;0.37;3.67;29;vagner-mancini;Vagner Mancini;V. Mancini;Vagner Carmo Mancini;https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png;114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
115;82564;38;315;3;7;0.8;2.96;0.14;0.4;7;laercio;Laércio;Laércio;Laércio Soldá;https://s.glbimg.com/es/sde/f/2021/06/04/258396cfb81349c8a107e9d5b3f074cd_FORMATO.png;115;0.0;0.0;10.0;3.0;0.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
116;78851;38;354;1;6;0.0;7.22;0.0;3.79;21;richard;Richard;Richard;Richard de Oliveira da Costa;https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png;116;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;9.0;52.0;22.0;0.0;0.0;0.0;1.0;0.0
117;82455;38;275;4;6;0.0;5.13;0.0;1.74;25;ze-rafael;Zé Rafael;Z. Rafael;José Rafael Vivian;https://s.glbimg.com/es/sde/f/2021/04/30/2a199d6235557f8b6ca773b7fd92b2bd_FORMATO.png;117;0.0;4.0;54.0;54.0;2.0;19.0;38.0;71.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;39656;38;282;4;6;0.5;2.59;0.04;0.2;5;franco;Franco;Franco;Alan Steven Franco Palma;https://s.glbimg.com/es/sde/f/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png;118;0.0;0.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;38877;38;282;2;6;0.0;7.78;0.0;3.75;23;mariano;Mariano;Mariano;Mariano Ferreira Filho;https://s.glbimg.com/es/sde/f/2021/05/02/cefb911612e5a3e04586a326c9c8647b_FORMATO.png;119;1.0;4.0;49.0;17.0;0.0;3.0;11.0;189.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
120;52253;38;282;3;6;0.0;8.87;0.0;3.9;21;rever;Réver;Réver;Réver Humberto Alves Araújo;https://s.glbimg.com/es/sde/f/2021/05/02/ce66257bddbcdd7f769730be5ed1b018_FORMATO.png;120;0.0;1.0;25.0;10.0;2.0;1.0;12.0;53.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
