id_player,player_name,id_club,id_position,scout_a,scout_ca,scout_ds,scout_fc,scout_fd,scout_ff,scout_fs,scout_pi,scout_cv,scout_ft,scout_g,scout_i,scout_sg,scout_de,scout_gs,scout_pc,scout_pp,scout_ps,scout_dp,scout_gc
103088,Lucas Ribeiro dos Santos,285,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103099,Éderson José dos Santos Lourenço da Silva,356,4,0.0,0.0,6.0,7.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103295,Eric dos Santos Rodrigues,280,4,0.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103515,Ramon Rodrigo de Carvalho,327,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103523,Ignácio da Silva Oliveira,315,3,0.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103576,Rafael Bilu Mudesto,286,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103684,Kaíque Rocha Lima,285,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103695,Jadsom Meemyas de Oliveira da Silva,280,4,0.0,1.0,12.0,5.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103700,Bruno Méndez Cittadini,285,3,0.0,0.0,7.0,6.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103706,Antônio Fialho de Carvalho Neto,282,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
103764,Gabriel Veron Fonseca de Souza,275,5,1.0,0.0,3.0,3.0,0.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103767,Gabriel Vinícius Menino,275,4,1.0,1.0,5.0,1.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104075,José Sabino Chagas Monteiro,292,3,0.0,1.0,1.0,3.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104125,Cléber Bomfim de Jesus,354,5,0.0,0.0,1.0,2.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
